text,intent
TAN,0
WOON,0
YANN,0
BOOK,company
TA,company
.K(TAMAN,0
DAYA),company
SDN,company
BND,0
789417-W,0
NO.53,address
55,address
57,address
&,address
59,address
 ,0
JALAN,address
SAGU,address
18,address
 ,0
TAMAN,address
DAYA,address
 ,0
81100,address
JOHOR,address
BAHRU,address
 ,0
JOHOR.,address
DOCUMENT,0
NO,0
:,0
TD01167104,0
DATE:,0
25/12/2018,date
8:13:39,0
PM,0
CASHIER:,0
MANIS,0
MEMBER:,0
CASH,0
BILL,0
CODE/DESC,0
PRICE,0
DISC,0
AMOUNT,0
QTY,0
RM,0
RM,0
9556939040116,0
KF,0
MODELLING,0
CLAY,0
KIDDY,0
FISH,0
1,0
PC,0
*,0
9.000,0
0.00,0
9.00,total
TOTAL:,0
ROUR,0
DING,0
ADJUSTMENT:,0
0.00,0
ROUND,0
D,0
TOTAL,0
(RM):,0
9.00,total
CASH,0
10.00,0
CHANGE,0
1.00,0
GOODS,0
SOLD,0
ARE,0
NOT,0
RETURNABLE,0
OR,0
EXCHANGEABLE,0
***,0
***,0
THANK,0
YOU,0
PLEASE,0
COME,0
AGAIN,0
!,0
9.00,total
TAN,0
WOON,0
YANN,0
INDAH,company
GIFT,company
&,company
HOME,company
DECO,company
27,address
JALAN,address
DEDAP,address
13,address
 ,0
TAMAN,address
JOHOR,address
JAYA,address
 ,0
81100,address
JOHOR,address
BAHRU,address
JOHOR.,address
TEL:07-3507405,0
FAX:07-3558160,0
RECEIPT,0
19/10/2018,date
20:49:59,0
#01,0
CASHIER:,0
CN,0
LOCATION/SP:,0
05,0
/0531,0
MB:,0
MO26588,0
ROOM,0
NO:,0
01,0
050100035279,0
DESC/ITEM,0
QTY,0
PRICE,0
AMT(RM),0
ST-PRIVILEGE,0
CARD/GD,0
INDAH,company
88888,0
1,0
10.00,0
10.00,0
GF-TABLE,0
LAMP/STITCH,0
<I>,0
62483,0
1,0
55.90,0
55.90,0
@DISC,0
10.00%,0
-5.59,0
#TOTAL,0
QTY,0
2,0
TOTAL,0
AMT.................,0
RM,0
60.31,0
ROUNDING,0
ADJ............,0
-0.01,0
RM,0
60.30,total
CASH....................,0
RM,0
70.30,0
CHANGE..................,0
RM,0
10.00,0
THANK,0
YOU,0
!,0
PLEASE,0
COME,0
AGAIN,0
!,0
GOODS,0
SOLD,0
ARE,0
NOT,0
RETURNABLE,0
THANK,0
YOU,0
!,0
FLEASE,0
COME,0
AOSIN,0
!,0
GOODS,0
SOLD,0
ARE,0
NOT,0
RETURNABLE,0
DEALING,0
IN,0
WHOLESALE,0
AND,0
RETAIL.,0
TAN,0
WOON,0
YANN,0
MR,company
D.T.Y.,0
(JOHOR),company
SDN,company
BHD,company
(CO.REG,0
:,0
933109-X),0
LOT,address
1851-A,address
&,address
1851-B,address
 ,0
JALAN,address
KPB,address
6,address
 ,0
KAWASAN,address
PERINDUSTRIAN,address
BALAKONG,address
 ,0
43300,address
SERI,address
KEMBANGAN,address
 ,0
SELANGOR,address
(MR,address
DIY,address
TESCO,address
TERBAU),address
-INVOICE-,0
CHOPPING,0
BOARD,0
35.5X25.5CM,0
803M#,0
EZ10HD05,0
-,0
24,0
8970669,0
1,0
X,0
19.00,0
19.00,0
AIR,0
PRESSURE,0
SPRAYER,0
SX-575-1,0
1.5L,0
HC03-7,0
-,0
15,0
9066468,0
1,0
X,0
8.02,0
8.02,0
WAXCO,0
WINDSHILED,0
CLEANER,0
120ML,0
WA14-3A,0
-,0
48,0
9557031100236,0
1,0
X,0
3.02,0
3.02,0
BOPP,0
TAPE,0
48MM*100M,0
CLEAR,0
FZ-04,0
-,0
36,0
6935818350846,0
1,0
X,0
3.88,0
3.88,0
ITEM(S),0
:,0
4,0
QTY(S),0
:,0
4,0
TOTAL,0
RM,0
33.92,0
ROUNDING,0
ADJUSTMENT,0
-RM,0
0.02,0
TOTAL,0
ROUNDED,0
RM,0
33.90,total
CASH,0
RM,0
50.00,0
CHANGE,0
RM,0
16.10,0
