text,intent
BOOK ,company
TA ,company
DAYA) ,company
SDN ,company
NO.53 ,address
55 ,address
57 ,address
& ,address
59 ,address
JALAN ,address
SAGU ,address
18 ,address
TAMAN ,address
DAYA ,address
81100 ,address
JOHOR ,address
BAHRU ,address
JOHOR. ,address
25/12/2018 ,date
9.00 ,total
9.00 ,total
9.00 ,total
INDAH ,company
GIFT ,company
& ,company
HOME ,company
DECO ,company
27 ,address
JALAN ,address
DEDAP ,address
13 ,address
TAMAN ,address
JOHOR ,address
JAYA ,address
81100 ,address
JOHOR ,address
BAHRU ,address
JOHOR. ,address
19/10/2018 ,date
INDAH ,company
60.30 ,total
MR ,company
(JOHOR) ,company
SDN ,company
BHD ,company
LOT ,address
1851-A ,address
& ,address
1851-B ,address
JALAN ,address
KPB ,address
6 ,address
KAWASAN ,address
PERINDUSTRIAN ,address
BALAKONG ,address
43300 ,address
SERI ,address
KEMBANGAN ,address
SELANGOR ,address
(MR ,address
DIY ,address
TESCO ,address
TERBAU) ,address
33.90 ,total
12-01-19 ,date
YONGFATT ,company
ENTERPRISE ,company
NO ,address
JALAN ,address
DEDAP ,address
13 ,address
81100 ,address
JOHOR ,address
BAHRU ,address
NO ,address
25/12/2018 ,date
80.90 ,total
MR ,company
D.I.Y. ,company
(M) ,company
SDN ,company
BHD ,company
LOT ,address
1851-A ,address
& ,address
1851-B ,address
JALAN ,address
KPB ,address
6 ,address
KAWASAN ,address
PERINDUSTRIAN ,address
BALAKONG ,address
43300 ,address
SERI ,address
KEMBANGAN ,address
SELANGOR ,address
(TESCO ,address
PUTRA ,address
NILAI) ,address
& ,address
30.90 ,total
18-11-18 ,date
ABC ,company
HO ,company
TRADING ,company
NO.2&4 ,address
JALAN ,address
HARMONI ,address
3/2 ,address
TAMAN ,address
DESA ,address
HARMONI. ,address
81100 ,address
JOHOR ,address
BAHRU ,address
JOHOR ,address
09/01/2019 ,date
31.00 ,total
31.00 ,total
31.00 ,total
SOON ,company
HUAT ,company
MACHINERY ,company
ENTERPRISE ,company
NO.53 ,address
JALAN ,address
PUTRA ,address
1 ,address
TAMAN ,address
81200 ,address
JOHOR ,address
BAHRU ,address
JOHOR ,address
11/01/2019 ,date
1 ,address
1 ,address
1 ,address
1 ,address
1 ,address
1 ,address
1 ,address
327.00 ,total
327.00 ,total
327.00 ,total
327.00 ,total
S.H.H. ,company
MOTOR ,company
(SUNGAI ,company
RENGIT) ,company
SDN. ,company
BHD. ,company
NO. ,address
343 ,address
JALAN ,address
KURAU ,address
SUNGAI ,address
RENGIT ,address
81620 ,address
PENGERANG ,address
JOHOR. ,address
20.00 ,total
20.00 ,total
20.00 ,total
20.00 ,total
20.00 ,total
23-01-2019 ,date
PERNIAGAAN ,company
ZHENG ,company
HUI ,company
NO.59 ,address
JALAN ,address
PERMAS ,address
9/5 ,address
BANDAR ,address
BARU ,address
PERMAS ,address
JAYA ,address
81760 ,address
JOHOR ,address
BAHRU ,address
12/02/2018 ,date
112.45 ,total
112.45 ,total
GERBANG ,company
ALAF ,company
RESTAURANTS ,company
SDN ,company
BHD ,company
RESTAURANTS ,company
SDN ,company
BHD ,company
LEVEL ,address
6 ,address
BANGUNAN ,address
TH ,address
DAMANSARA ,address
UPTOWN3 ,address
NO.3 ,address
JALAN ,address
SS21/39 ,address
47400 ,address
PETALING ,address
JAYA ,address
SELANGOR ,address
18/01/2018 ,date
26.60 ,total
26.60 ,total
SAM ,company
SAM ,company
TRADING ,company
CO ,company
67 ,address
JLN ,address
MEWAH ,address
25/63 ,address
TMN ,address
SRI ,address
MUDA ,address
40400 ,address
SHAH ,address
ALAM. ,address
SAM ,company
SAM ,company
14.10 ,total
29-12-2017 ,date
AIK ,company
HUAT ,company
HARDWARE ,company
ENTERPRISE ,company
(SETIA ,company
ALAM) ,company
SDN ,company
BHD ,company
NO. ,address
17-G ,address
JALAN ,address
SETIA ,address
INDAH ,address
(X) ,address
U13/X ,address
SETIA ,address
ALAM ,address
SEKSYEN ,address
U13 ,address
40170 ,address
SHAH ,address
ALAM ,address
15/06/2017 ,date
15.00 ,total
15.00 ,total
15.00 ,total
15.00 ,total
15.00 ,total
HOME ,company
MASTER ,company
HARDWARE ,company
& ,address
ELECTRICAL ,company
NO.113G ,address
& ,address
115G ,address
JALAN ,address
SETIA ,address
GEMBILANG ,address
U13/BG ,address
BANDAR ,address
SETIA ,address
ALAM ,address
40170 ,address
BANDAR ,address
SETIA ,address
ALAM ,address
SELANGOR. ,address
22/12/2017 ,date
15.90 ,total
15.90 ,total
15.90 ,total
15.90 ,total
15.90 ,total
RESTORAN ,company
HASSANBISTRO ,company
NO.2-1-1 ,address
JALAN ,address
PRIMA ,address
Q ,address
U ,address
13/Q ,address
ALAM ,address
40170 ,address
ALAM ,address
SELANGOR ,address
12/28/2017 ,date
15.00 ,total
15.00 ,total
15.00 ,total
15.00 ,total
15.00 ,total
15.00 ,total
ASIA ,company
MART ,company
NO.23 ,address
BATU ,address
10 ,address
TAMAN ,address
SENTOSA ,address
JALAN ,address
KAPAR ,address
42200 ,address
KLANG ,address
SELANGOR. ,address
22/12/2017 ,date
32.70 ,total
HOME ,company
MASTER ,company
HARDWARE ,company
& ,address
ELECTRICAL ,company
NO.113G ,address
& ,address
115G ,address
JALAN ,address
SETIA ,address
GEMBILANG ,address
U13/BG ,address
BANDAR ,address
SETIA ,address
ALAM ,address
40170 ,address
BANDAR ,address
SETIA ,address
ALAM ,address
SELANGOR. ,address
22/12/2017 ,date
15.90 ,total
15.90 ,total
15.90 ,total
15.90 ,total
15.90 ,total
LIGHTROOM ,company
GALLERY ,company
SDN ,company
BHD ,company
NO: ,address
28 ,address
JALAN ,address
ASTANA ,address
1C ,address
BANDAR ,address
BUKIT ,address
RAJA ,address
41050 ,address
KLANG ,address
SELANGOR ,address
D.E ,address
MALAYSIA ,address
NO: ,address
20/12/2017 ,date
20/12/2017 ,date
20/12/2017 ,date
73.00 ,total
73.00 ,total
LIGHTROOM ,company
GALLERY ,company
SDN ,company
BHD ,company
NO: ,address
28 ,address
JALAN ,address
ASTANA ,address
1C ,address
BANDAR ,address
BUKIT ,address
RAJA ,address
41050 ,address
KLANG ,address
SELANGOR ,address
MALAYSIA ,address
NO: ,address
20/11/2017 ,date
20/11/2017 ,date
20/11/2017 ,date
39.80 ,total
39.80 ,total
LIGHTROOM ,company
GALLERY ,company
SDN ,company
BHD ,company
NO: ,address
28 ,address
JALAN ,address
ASTANA ,address
1C ,address
BANDAR ,address
BUKIT ,address
RAJA ,address
41050 ,address
KLANG ,address
SELANGOR ,address
D.E ,address
MALAYSIA ,address
NO: ,address
20/12/2017 ,date
20/12/2017 ,date
73.00 ,total
73.00 ,total
20/12/2017 ,date
SHELL ,company
ISNI ,company
PETRO ,company
TRADING ,company
LOT ,address
2685 ,address
JLN ,address
GENTING ,address
KLANG ,address
53300 ,address
KL ,address
SITE ,address
1066 ,address
86.00 ,total
86.00 ,total
86.00 ,total
86.00 ,total
SHELL ,company
18/03/18 ,date
SYL ,company
ROASTED ,company
DELIGHTS ,company
SDN. ,company
BHD. ,company
JALAN ,address
SS ,address
22/19 ,address
DAMANSARA ,address
JAYA ,address
47400 ,address
PJ ,address
06/03/2018 ,date
54.50 ,total
TEO ,company
HENG ,company
STATIONERY ,company
& ,company
BOOKS ,company
NO. ,address
53 ,address
JALAN ,address
BESAR ,address
45600 ,address
BATANG ,address
BERJUNTAI ,address
SELANGOR ,address
DARUL ,address
EHSAN ,address
NO. ,address
NO. ,address
18/01/2018 ,date
4.90 ,total
4.90 ,total
& ,company
FUYI ,company
